Food Name,Calories (kcal),Carbohydrates (g),Protein (g),Serving Size (g),Recommended Meal Time
Aloo Gobi,142,15,3,100 g,Lunch/Dinner
Aloo Tikki,327,37,6,100 g,Snack
Baingan Bharta,175,11,2,100 g,Lunch/Dinner
Bhindi Masala,117,10,2,100 g,Lunch/Dinner
Biryani,265,27,4,100 g,Lunch/Dinner
Butter Chicken,286,6,23,100 g,Lunch/Dinner
Chana Masala,163,22,6,100 g,Lunch/Dinner
Chapati,70,15,2,1 piece,Lunch/Dinner
Chicken Curry,195,2,16,100 g,Lunch/Dinner
Chicken Tikka Masala,260,7,22,100 g,Lunch/Dinner
Chole Bhature,450,53,12,1 plate,Breakfast/Lunch
Coconut Chutney,132,2,2,100 g,Snack/Lunch/Dinner
Dahi Bhalla,130,20,5,1 piece,Snack
Dal Fry,171,17,7,100 g,Lunch/Dinner
Dal Makhani,260,29,10,100 g,Lunch/Dinner
Dosa,133,23,2,1 piece,Breakfast/Lunch
Gajar Halwa,265,32,3,100 g,Snack/Dessert
Gulab Jamun,125,14,2,1 piece,Dessert
Idli,39,8,2,1 piece,Breakfast/Lunch
Jeera Rice,160,31,3,100 g,Lunch/Dinner
Kachori,220,22,6,1 piece,Breakfast/Snack
Kadai Paneer,230,12,8,100 g,Lunch/Dinner
Kheer,190,31,4,100 g,Dessert
Kulfi,110,14,3,1 stick,Snack/Dessert
Lassi,100,12,4,200 g,Snack/Lunch
Mango Pickle,13,2,0,10 g,Snack/Lunch/Dinner
Masala Chai,52,4,2,100 g,Breakfast/Snack
Matar Paneer,259,17,12,100 g,Lunch/Dinner
Medu Vada,92,10,3,1 piece,Breakfast/Snack
Misal Pav,250,30,12,1 plate,Breakfast/Lunch
Murukku,486,66,6,100 g,Snack
Naan,317,46,8,1 piece,Lunch/Dinner
Onion Pakora,200,12,4,100 g,Snack
Palak Paneer,200,8,8,100 g,Lunch/Dinner
Papadum,60,10,2,1 piece,Snack/Lunch/Dinner
Pav Bhaji,180,25,5,1 plate,Breakfast/Lunch
Puri,101,15,2,1 piece,Breakfast/Lunch
Rajma,143,22,9,100 g,Lunch/Dinner
Raita,67,5,3,100 g,Lunch/Dinner
Aloo Bhujia,547,45,6,100 g,Snack
Aloo Tikki,327,37,6,100 g,Snack
Bhel Puri,180,35,5,100 g,Snack
Biscuits,502,72,6,100 g,Snack
Bombay Mix,589,47,8,100 g,Snack
Bread Pakora,298,28,8,1 piece,Snack
Butter Naan,332,44,7,1 piece,Snack
Chakli,545,46,9,100 g,Snack
Chevdo,498,54,8,100 g,Snack
Chili Paneer,313,15,18,100 g,Snack
Chilli Bhajji,205,19,3,1 piece,Snack
Chilli Chicken,295,11,16,100 g,Snack
Chilli Garlic Maggi,188,28,4,1 pack,Snack
Chilli Paneer,310,20,14,100 g,Snack
Chivda,357,51,4,100 g,Snack
Corn Chaat,120,24,4,100 g,Snack
Crispy Spinach,122,7,2,100 g,Snack
Dahi Vada,100,16,4,1 piece,Snack
Dhokla,180,22,5,100 g,Snack
Egg Roll,295,23,12,1 piece,Snack
Fafda,468,44,8,100 g,Snack
Fish Fry,300,5,16,100 g,Snack
French Fries,312,41,3,100 g,Snack
Gobi Manchurian,230,16,6,100 g,Snack
Green Peas Samosa,262,20,4,1 piece,Snack
Grilled Paneer,208,9,17,100 g,Snack
Idli Fry,150,30,2,100 g,Snack
Jhal Muri,192,32,6,100 g,Snack
Kachori,220,22,6,1 piece,Snack
Khaman Dhokla,120,20,4,100 g,Snack
Khasta Kachori,190,20,5,1 piece,Snack
Kothimbir Vadi,140,14,3,100 g,Snack
Lemon Rice,141,23,3,100 g,Snack
Maggi,188,28,4,1 pack,Snack
Masala Papad,105,14,3,1 piece,Snack
Masala Peanuts,567,22,22,100 g,Snack
Masala Puri,375,52,9,100 g,Snack
Masala Vada,155,17,4,1 piece,Snack
Matar Kachori,267,28,6,1 piece,Snack
Medu Vada,92,10,3,1 piece,Snack
Methi Mathri,422,40,8,100 g,Snack
Mint Chutney,70,2,1,100 g,Snack
Mirchi Vada,288,28,4,1 piece,Snack
Aloo Gobi,120,12,2,100 g,Lunch/Dinner
Aloo Matar,118,16,3,100 g,Lunch/Dinner
Aloo Matar Paneer,216,23,6,100 g,Lunch/Dinner
Aloo Methi,150,15,3,100 g,Lunch/Dinner
Aloo Palak,150,13,3,100 g,Lunch/Dinner
Aloo Paratha,300,42,6,1 piece,Lunch/Dinner
Aloo Posto,129,10,4,100 g,Lunch/Dinner
Aloo Sabzi,107,12,2,100 g,Lunch/Dinner
Aloo Tamatar Sabzi,129,15,2,100 g,Lunch/Dinner
Baingan Bharta,110,11,3,100 g,Lunch/Dinner
Baingan Ka Bharta,104,10,3,100 g,Lunch/Dinner
Bhindi Masala,120,8,2,100 g,Lunch/Dinner
Bhuna Gosht,150,3,20,100 g,Lunch/Dinner
Biryani,400,50,10,200 g,Lunch/Dinner
Bombay Biryani,280,48,10,200 g,Lunch/Dinner
Butter Chicken,300,5,25,100 g,Lunch/Dinner
Chana Dal,160,18,7,100 g,Lunch/Dinner
Chana Masala,185,18,6,100 g,Lunch/Dinner
Channa Masala,210,30,9,200 g,Lunch/Dinner
Chicken Biryani,300,40,15,200 g,Lunch/Dinner
Chicken Curry,320,6,25,200 g,Lunch/Dinner
Chicken Do Pyaza,300,5,20,200 g,Lunch/Dinner
Chicken Fry,400,20,30,200 g,Lunch/Dinner
Chicken Handi,350,15,25,200 g,Lunch/Dinner
Chicken Korma,300,5,20,200 g,Lunch/Dinner
Chicken Masala,300,5,25,200 g,Lunch/Dinner
Chicken Tikka,300,10,20,200 g,Lunch/Dinner
Chili Chicken,300,20,15,200 g,Lunch/Dinner
Chilli Paneer,300,15,15,200 g,Lunch/Dinner
Coconut Chutney,50,1,1,100 g,Lunch/Dinner
Corn Curry,150,20,3,100 g,Lunch/Dinner
Dal Fry,220,20,10,100 g,Lunch/Dinner
Dal Makhani,210,22,7,100 g,Lunch/Dinner
Dal Tadka,150,15,7,100 g,Lunch/Dinner
Dhansak,250,40,10,200 g,Lunch/Dinner
Dosa,120,22,2,1 piece,Lunch/Dinner
Egg Biryani,250,30,12,200 g,Lunch/Dinner
Egg Curry,180,5,15,200 g,Lunch/Dinner
Fish Curry,150,5,20,100 g,Lunch/Dinner
Fish Fry,200,5,15,100 g,Lunch/Dinner
Gajar Ka Halwa,150,30,2,100 g,Lunch/Dinner
Hyderabadi Biryani,400,50,10,200 g,Lunch/Dinner
Jeera Rice,150,28,3,100 g,Lunch/Dinner
Kadai Chicken,300,6,20,200 g,Lunch/Dinner
Kadhi Pakoda,140,10,6,100 g,Lunch/Dinner
Karela Sabzi,110,10,2,100 g,Lunch/Dinner
Keema Matar,250,8,25,100 g,Lunch/Dinner
Khichdi,200,30,6,200 g,Lunch/Dinner
Kofta Curry,200,10,15,100 g,Lunch/Dinner
Kulcha,200,25,5,1 piece,Lunch/Dinner
Lamb Biryani,400,50,20,200 g,Lunch/Dinner
Lamb Curry,300,5,25,200 g,Lunch/Dinner
Lemon Rice,200,30,4,100 g,Lunch/Dinner
Makki Ki Roti,150,20,4,1 piece,Lunch/Dinner
Malai Kofta,250,20,10,100 g,Lunch/Dinner
Matar Paneer,200,20,10,100 g,Lunch/Dinner
Methi Chicken,250,6,20,200 g,Lunch/Dinner
Mushroom Curry,100,5,5,100 g,Lunch/Dinner
Mutton Biryani,400,50,20,200 g,Lunch/Dinner
Mutton Curry,300,5,25,200 g,Lunch/Dinner
Naan,200,30,5,1 piece,Lunch/Dinner
Navratan Korma,300,10,10,100 g,Lunch/Dinner
Palak Chicken,250,5,20,200 g,Lunch/Dinner
Palak Paneer,200,10,10,100 g,Lunch/Dinner
Pav Bhaji,250,30,5,200 g,Lunch/Dinner
Peas Pulao,200,30,4,100 g,Lunch/Dinner
Pindi Chana,150,20,5,100 g,Lunch/Dinner
Pork Vindaloo,300,10,25,200 g,Lunch/Dinner
Prawn Curry,150,5,20,100 g,Lunch/Dinner
Puri,100,10,2,1 piece,Lunch/Dinner
Rajma Masala,200,25,10,100 g,Lunch/Dinner
Rogan Josh,250,10,20,200 g,Lunch/Dinner
Sambhar,100,15,5,100 g,Lunch/Dinner
Samosa,260,30,4,1 piece,Lunch/Dinner
Shahi Paneer,200,10,10,100 g,Lunch/Dinner
Tandoori Chicken,200,5,25,100 g,Lunch/Dinner
Tandoori Roti,150,20,4,1 piece,Lunch/Dinner
Vegetable Biryani,350,40,8,200 g,Lunch/Dinner
Vegetable Curry,150,10,5,100 g,Lunch/Dinner
Vegetable Pulao,200,30,4,100 g,Lunch/Dinner
Vegetable Sambar,100,15,5,100 g,Lunch/Dinner
Aloo Paratha,320,40,7,1 piece,Breakfast
Appam,120,22,2,1 piece,Breakfast
Bajra Roti,100,15,3,1 piece,Breakfast
Batata Poha,150,25,3,100 g,Breakfast
Bread Omelette,250,20,12,2 slices,Breakfast
Bread Pakora,300,30,8,2 pieces,Breakfast
Cheese Omelette,300,2,20,2 eggs,Breakfast
Chhole Bhature,450,50,10,1 plate,Breakfast
Dahi Vada,120,16,4,2 pieces,Breakfast
Dosa,100,20,2,1 piece,Breakfast
Egg Bhurji,200,5,14,2 eggs,Breakfast
Idli,60,10,2,1 piece,Breakfast
Masala Dosa,200,30,5,1 piece,Breakfast
Medu Vada,90,10,2,1 piece,Breakfast
Methi Thepla,150,10,3,1 piece,Breakfast
Misal Pav,300,25,10,1 plate,Breakfast
Mutton Kheema,250,5,25,100 g,Breakfast
Neer Dosa,60,10,1,1 piece,Breakfast
Omlette,200,2,16,2 eggs,Breakfast
Onion Uttapam,150,15,4,1 piece,Breakfast
Pancakes,150,20,2,2 pieces,Breakfast
Pani Puri,80,12,2,6 pieces,Breakfast
Paratha,250,30,6,1 piece,Breakfast
Pesarattu,120,20,5,1 piece,Breakfast
Poha,130,20,3,100 g,Breakfast
Poori Bhaji,250,30,6,2 pooris,Breakfast
Rava Dosa,120,20,3,1 piece,Breakfast
Rava Idli,150,25,3,2 pieces,Breakfast
Sabudana Khichdi,300,50,5,1 plate,Breakfast
Upma,150,25,3,100 g,Breakfast
Veggie Omelette,200,2,12,2 eggs,Breakfast
Aloo Gobi Paratha,320,40,7,1 piece,Breakfast
Aloo Tikki,200,20,5,2 pieces,Breakfast
Bread Butter,200,20,4,2 slices,Breakfast
Bread Jam,200,30,3,2 slices,Breakfast
Cheese Sandwich,400,40,12,2 slices,Breakfast
Chole Kulche,400,50,15,1 plate,Breakfast
Chutney Sandwich,250,25,5,2 slices,Breakfast
Cornflakes,110,25,2,1 cup,Breakfast
Dahi Puri,100,16,3,6 pieces,Breakfast
Dal Dhokli,350,30,10,1 bowl,Breakfast
Egg Bhakri,350,40,20,2 pieces,Breakfast
Egg Roll,200,20,10,1 roll,Breakfast
Egg Sandwich,250,20,15,2 slices,Breakfast
Green Peas Poha,170,20,4,100 g,Breakfast
Hara Bhara Kabab,80,8,2,2 pieces,Breakfast
Kachori,150,15,3,2 pieces,Breakfast
Kanda Poha,150,20,3,100 g,Breakfast
Khaman Dhokla,150,20,5,1 piece,Breakfast
Khandvi,170,15,5,2 rolls,Breakfast
Masala Omelette,300,5,20,2 eggs,Breakfast
Masala Vada,100,10,5,2 pieces,Breakfast
Medu Vada Sambar,150,20,3,1 plate,Breakfast
Methi Muthiya,200,25,5,2 pieces,Breakfast
Milk Poha,200,20,6,1 bowl,Breakfast
Moong Dal Dosa,150,20,5,1 piece,Breakfast
Mooli Paratha,250,30,6,1 piece,Breakfast
Multigrain Roti,150,20,5,1 piece,Breakfast
Nariyal Poha,200,30,3,100 g,Breakfast
Onion Rava Dosa,150,20,5,1 piece,Breakfast
Palak Paneer Paratha,300,35,12,1 piece,Breakfast
Pav Bhaji,400,50,10,1 plate,Breakfast
Podi Dosa,200,30,5,1 piece,Breakfast
Pongal,200,35,7,1 bowl,Breakfast
Ragi Dosa,100,10,5,1 piece,Breakfast
Sabudana Vada,100,15,2,2 pieces,Breakfast
Sattu Paratha,300,35,15,1 piece,Breakfast
Semiya Upma,180,30,4,100 g,Breakfast
Soya Chunks Dosa,150,20,8,1 piece,Breakfast
Soya Upma,150,20,8,1 bowl,Breakfast
Tamarind Rice,250,30,5,1 plate,Breakfast
Tomato Omelette,200,5,15,2 eggs,Breakfast
Urad Dal Dosa,150,20,5,1 piece,Breakfast
Uttapam Sambar,250,40,5,1 plate,Breakfast
Vada Pav,300,35,8,1 piece,Breakfast
Wheat Rava Upma,180,30,4,100 g,Breakfast
Apple,95,25,1,1 medium,Snack/Breakfast
Banana,105,27,1,1 medium,Snack/Breakfast
Blueberries,85,21,1,1 cup,Snack/Breakfast
Cantaloupe,55,13,1,1 cup,Snack/Breakfast
Carrot sticks,25,6,1,1/2 cup,Snack/Breakfast
Cherry tomatoes,15,2,1,1/2 cup,Snack/Breakfast
Cucumber slices,15,4,1,1/2 cup,Snack/Breakfast
Grapes,65,17,1,1 cup,Snack/Breakfast
Mango,135,35,1,1 medium,Snack/Breakfast
Mixed fruit salad,80,20,1,1 cup,Snack/Breakfast
Orange,60,15,1,1 medium,Snack/Breakfast
Papaya,60,15,1,1 cup,Snack/Breakfast
Peach,60,15,1,1 medium,Snack/Breakfast
Pear,100,26,1,1 medium,Snack/Breakfast
Pineapple,75,19,1,1 cup,Snack/Breakfast
Raspberry,65,15,1,1 cup,Snack/Breakfast
Spinach salad,50,5,3,1 cup,Snack/Breakfast
Strawberries,50,12,1,1 cup,Snack/Breakfast
Watermelon,45,11,1,1 cup,Snack/Breakfast
Yogurt and fruit parfait,120,20,5,1 cup,Snack/Breakfast
